,0
0,590.3
1,588.15
2,585.75
3,593.35
4,597.19
5,596.9
6,598.76
7,598.19
8,595.61
9,591.04
10,576.7
11,569.81
12,571.04
13,568.64
14,580.01
15,581.77
16,580.83
17,579.04
18,579.24
19,577.99
20,583.32
21,583.63
22,584.59
23,582.35
24,582.3
25,579.78
26,584.32
27,579.58
28,576.13
29,577.14
30,573.17
31,567.8
32,572.98
33,567.82
34,568.86
35,568.62
36,573.76
37,571.47
38,572.3
39,570.04
40,571.3
41,569.67
42,568.25
43,570.98
44,561.4
45,563.07
46,562.84
47,562.01
48,559.09
49,554.42
50,548.79
51,546.41
52,540.36
53,549.61
54,550.95
55,552.08
56,563.68
57,558.35
58,558.3
59,561.56
60,560.79
61,562.13
62,556.22
63,560.62
64,558.7
65,559.61
66,554.31
67,553.07
68,543.75
69,542.04
70,533.27
71,532.99
72,530.65
73,518.66
74,522.15
75,517.38
76,532.9
77,543.01
78,550.81
79,542.0
80,544.76
81,544.44
82,538.41
83,541.23
84,553.78
85,554.65
86,548.99
87,552.66
88,556.94
89,564.86
90,561.53
91,559.99
92,556.48
93,561.32
94,555.82
95,555.28
96,554.64
97,551.46
98,549.01
99,545.34
100,544.22
101,546.37
102,545.51
103,544.83
104,542.74
105,544.51
106,547.0
107,548.49
108,547.1
109,542.78
110,542.45
111,541.36
112,536.95
113,535.66
114,534.01
115,534.66
116,534.67
117,528.39
118,527.8
119,527.37
120,522.61
121,526.1
122,529.81
123,529.44
124,525.96
125,529.83
126,531.36
127,530.06
128,529.45
129,528.69
130,529.78
131,523.3
132,520.91
133,520.84
134,520.17
135,517.19
136,517.14
137,516.57
138,511.29
139,505.03
140,500.35
141,501.98
142,510.06
143,508.26
144,503.49
145,505.41
146,505.65
147,499.72
148,495.16
149,499.52
150,500.55
151,503.53
152,504.45
153,510.85
154,518.0
155,514.12
156,519.32
157,518.72
158,518.43
159,513.07
160,519.41
161,518.84
162,522.16
163,523.07
164,523.17
165,518.81
166,519.77
167,521.21
168,522.2
169,520.48
170,515.71
171,512.86
172,509.83
173,514.95
174,515.97
175,516.78
176,511.28
177,511.72
178,514.81
179,509.75
180,507.18
181,512.3
182,512.85
